sector_id,new_sector1,new_sector2,new_sector3,new_sector4,new_sector5,projectid,projectid,envassesmentcategorycode,goal,lendinginstr,lendinginstrtype,prodline,project_name,status,supplementprojectflg,regioncode,regioncode,regionname,countrycode,countrycode,countryname
509,"Tertiary Education","Primary Education","Secondary Education","Sub-National Government","Central Government (Central Agencies)",29,29,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Afghanistan - Second Education Quality Improvement Program",Closed,N,2,2,"South Asia",1,1,Afghanistan
667,"Workforce Development and Vocational Education","Tertiary Education","Public Administration - Education",,,30,30,B,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Afghanistan - Second Skills Development Project",Active,N,2,2,"South Asia",1,1,Afghanistan
2,"Secondary Education","Primary Education","Public Administration - Education",,,194,194,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Investment Project Financing",IN,PE,EQRA,Active,N,2,2,"South Asia",1,1,Afghanistan
267,"Primary Education","Secondary Education","Sub-National Government","Central Government (Central Agencies)",,255,255,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Emergency Recovery Loan",IN,PE,"Education Quality Improvement Program",Closed,N,2,2,"South Asia",1,1,Afghanistan
61,"Workforce Development and Vocational Education","Public Administration - Education",,,,562,562,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Investment Project Financing",IN,RE,"Non-Formal Approach to Training Education and Jobs in Afghanistan Project",Closed,N,2,2,"South Asia",1,1,Afghanistan
380,"Primary Education","Secondary Education","Tertiary Education","Central Government (Central Agencies)",,44,44,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","Sector Investment and Maintenance Loan",IN,PE,"BASIC & SECONDARY EDUCATION SUPPORT PROJECT",Closed,N,3,3,"Middle East and North Africa",2,2,Algeria
518,"Rural and Inter-Urban Roads","Other Water Supply; Sanitation and Waste Management","Energy Transmission and Distribution","Other Public Administration",,12,12,B,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Emergency Recovery Loan",IN,PE,"ANGOLA EMERGENCY MULTI-SECTOR RECOVERY - PHASE 2",Closed,N,5,5,"Africa East",3,3,Angola
726,"Water Supply","Other Public Administration",Health,"Agricultural Extension; Research; and Other Support Activities","Primary Education",13,13,B,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities|Millennium Development Goals;GPG|CAP|MDG;Corporate Advocacy Priorities;CAP","Emergency Recovery Loan",IN,PE,"AO-Emerg MS Recovery ERL (FY05)",Closed,N,5,5,"Africa East",3,3,Angola
73,"Primary Education",,,,,37,37,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Angola Learning for All Project",Active,N,5,5,"Africa East",3,3,Angola
637,"Central Government (Central Agencies)","Tertiary Education","Sub-National Government","Secondary Education","Primary Education",240,240,C,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Specific Investment Loan",IN,PE,"Education Project (01)",Closed,N,5,5,"Africa East",3,3,Angola
214,"Workforce Development and Vocational Education","Other Public Administration","Social Protection","Adult; Basic and Continuing Education","Other Industry; Trade and Services",15,15,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"AR Lifelong Learning Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
155,Health,"Primary Education","Public Administration - Health","Central Government (Central Agencies)","Public Administration - Education",16,16,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Millennium Development Goals|Corporate Advocacy Priorities;MDG|CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP","Specific Investment Loan",IN,PE,"AR San Juan SWAP",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
352,"Secondary Education","Central Government (Central Agencies)","Tertiary Education",,,17,17,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"AR-Decentralization & Improvement  of Secondary Educ. & Polymodal Education Development Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
719,"Primary Education","Early Childhood Education","Sub-National Government","Secondary Education","Central Government (Central Agencies)",40,40,B,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Argentina Rural Education Improvement Project - PROMER",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
48,"Secondary Education","Primary Education","Early Childhood Education","Public Administration - Education",,41,41,B,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Investment Project Financing",IN,PE,"Argentina Second Rural Education Improvement Project - PROMER-II",Active,N,7,7,"Latin America and Caribbean",4,4,Argentina
870,"Secondary Education","Central Government (Central Agencies)","Sub-National Government","Tertiary Education",,167,167,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Decentralization and Improvement of Secondary Education Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
847,"Other Education","Sub-National Government",Health,"Banking Institutions","Roads and highways",587,587,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Sector Adjustment Loan",AD,PE,"PROVINCIAL REFORM ADJUSTMENT LOAN - CATAMARCA",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
749,"Other Public Administration","Other Education",Health,"Other Non-bank Financial Institutions","Social Protection",667,667,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Provincial Reform Loan Project - Cordoba",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
923,Health,"Other Education","Sub-National Government","Other Industry; Trade and Services","Public Administration - Health",668,668,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities|Millennium Development Goals;CAP|GPG|MDG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Structural Adjustment Loan",AD,PE,"Provincial Reform Project (02) - San Juan",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
306,"Rural and Inter-Urban Roads",,,,,726,726,U,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Santa Fe Provincial Reform Adjustment Loan",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
591,"Secondary Education","Central Government (Central Agencies)",,,,759,759,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Specific Investment Loan",IN,PE,"Second Secondary Education Project - Province of Buenos Aires",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
331,"Primary Education","Secondary Education","Tertiary Education","Central Government (Central Agencies)",,764,764,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","Specific Investment Loan",IN,PE,"Secondary Education 3",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
863,"Social Protection","Other Education","Central Government (Central Agencies)","Other Water Supply; Sanitation and Waste Management","Roads and highways",805,805,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Social Protection Project",Closed,N,7,7,"Latin America and Caribbean",4,4,Argentina
608,"Other Education","Central Government (Central Agencies)","Sub-National Government",,,223,223,C,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP","Specific Investment Loan",IN,PE,"Education Financing & Management Reform Project",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
453,"Public Administration - Education","Secondary Education","Early Childhood Education","Tertiary Education","Primary Education",228,228,B,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Investment Project Financing",IN,PE,"Education Improvement Project",Active,N,9,9,"Europe and Central Asia",5,5,Armenia
276,"Secondary Education","Primary Education","Central Government (Central Agencies)","Public Administration - Social Protection","Social Protection",252,252,C,"Corporate Advocacy Priorities|Millennium Development Goals;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG","Adaptable Program Loan",IN,PE,"Education Quality & Relevance Project (APL #1)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
493,"Other Education","Tertiary Education","Public Administration - Education","Early Childhood Education",,739,739,C,"Corporate Advocacy Priorities|Global Public Goods Priorities;Corporate Advocacy Priorities|Global Public Goods Priorities;CAP|GPG;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Adaptable Program Loan",IN,PE,"Second Education Quality and Relevance (APL 2)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
600,Power,"Central Government (Central Agencies)","Other Industry; Trade and Services","Irrigation and Drainage","Other Education",828,828,U,"Corporate Advocacy Priorities;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities;CAP","Structural Adjustment Loan",AD,PE,"Structural Adjustment Credit 3 (SAC 3)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
909,"Social Protection","Other Industry; Trade and Services","Other Public Administration","Other Energy and Extractives","Other Non-bank Financial Institutions",829,829,U,"Corporate Advocacy Priorities|Corporate Advocacy Priorities;Corporate Advocacy Priorities|Corporate Advocacy Priorities;CAP|CAP;Corporate Advocacy Priorities;CAP;Global Public Goods Priorities|Corporate Advocacy Priorities;GPG|CAP;Corporate Advocacy Priorities;CAP;Corporate Advocacy Priorities|Millennium Development Goals;CAP|MDG","Structural Adjustment Loan",AD,PE,"Structural Adjustment Credit 5 (SAC 5)",Closed,N,9,9,"Europe and Central Asia",5,5,Armenia
